"country","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Afghanistan",38054941,42388400,46699545,50907550,54914122,58614315,61928118,64833869,67307303,69312240,70828562,71835187,72324435,72356276,71993320,71316116,70409629
"Albania",2942034,2946992,2933419,2895451,2833058,2753275,2663591,2570056,2473665,2373506,2268385,2159040,2048793,1940549,1837280,1741935,1657307
"Algeria",43333255,46307643,48821963,51070401,53248997,55411769,57436703,59106493,60316226,61131159,61689919,62099469,62422851,62671784,62814647,62791869,62556472
"Andorra",77184,77775,78154,78444,78550,78205,77187,75467,73261,70942,68854,67171,65955,65111,64451,63809,63125
"Angola",32827401,38431208,44712282,51664864,59249002,67399148,76046053,85132120,94596081,104370664,114365294,124462545,134553234,144539981,154311019,163783817,172860941
"Antigua and Barbuda",105110,110094,114608,118452,121503,123729,125223,126147,126686,127025,127254,127247,126917,126227,125281,124162,122961
"Argentina",45510399,47479800,49323306,51027807,52585643,53988553,55228902,56286317,57142441,57787523,58221093,58468089,58560778,58526221,58370260,58105962,57747478
"Armenia",2938679,2934370,2907463,2866150,2818399,2764618,2700184,2624286,2539596,2449832,2357856,2264623,2171517,2081217,1997038,1919968,1848572
"Australia",25398177,26857068,28234742,29526448,30764641,31982056,33186818,34329789,35404457,36411095,37357006,38244210,39066484,39831668,40552333,41225397,41834586
"Austria",8782210,8878617,8945882,8970477,8962110,8931070,8877857,8798684,8705193,8615630,8536493,8461262,8384848,8312877,8256496,8217908,8189358
"Azerbaijan",10099743,10442074,10680202,10860905,10988920,11049380,11039198,10969019,10857437,10717685,10556306,10381219,10201788,10029543,9869855,9716498,9558619
"Bahamas",406839,424732,439896,451970,461356,468871,474894,479187,481894,483218,483291,482181,480070,477245,474094,470897,467615
"Bahrain",1697765,1862403,2013135,2121977,2205227,2272490,2327108,2370681,2404625,2428211,2440312,2439618,2424974,2396240,2354367,2302610,2246258
"Bangladesh",169775309,178262909,185584811,191600525,196294312,199743520,201926816,202902150,202740914,201527366,199365088,196373334,192648561,188338816,183604470,178612617,173548665
"Barbados",287568,289538,290010,289050,286843,283799,280310,276792,273535,270677,268169,265926,263812,261706,259565,257357,255126
"Belarus",9415431,9311380,9163118,8995426,8837337,8699407,8570898,8438076,8296549,8153400,8020485,7908253,7820208,7754505,7703356,7656366,7605140
"Belgium",11619972,11819487,12001594,12159663,12293880,12403243,12488233,12549705,12597441,12643295,12694403,12750022,12806236,12863112,12920100,12974911,13022033
"Belize",398007,436398,472702,506511,537621,566238,592420,615599,635466,651732,664545,674107,680814,685176,687598,688454,687935
"Benin",12122985,13809467,15628437,17568229,19613944,21741574,23929846,26161405,28413096,30667609,32890347,35058195,37145176,39135904,41007740,42739575,44325028
"Bhutan",835245,877866,913697,942541,965239,982468,994203,999896,998991,991645,978656,961627,942000,921051,899686,878472,857736
"Bolivia",11543982,12359800,13158072,13925118,14643343,15304402,15903460,16435396,16894692,17274698,17574360,17796923,17947326,18031991,18056386,18025788,17946304
"Bosnia and Herzegovina",3498210,3456355,3404781,3336402,3251170,3155712,3058143,2964034,2873153,2781521,2687595,2592972,2501573,2416819,2340932,2274815,2217029
"Botswana",2415766,2614316,2800433,2974633,3137601,3287868,3421404,3533966,3623686,3691108,3739405,3772825,3794632,3805764,3805860,3794780,3773608
"Brazil",213863046,220370552,225472214,229202582,231601656,232724279,232688044,231537607,229293394,226036562,221895313,217053157,211763066,206257958,200774505,195471145,190423052
"Brunei",444519,468771,489666,506838,520202,530096,536723,539860,539575,536327,530850,524038,516681,509197,501707,494185,486608
"Bulgaria",6940527,6694229,6430847,6157135,5894132,5651925,5423867,5201794,4981147,4765543,4567025,4395878,4254229,4138177,4038814,3944705,3849979
"Burkina Faso",20903345,23991225,27382488,31052714,34953797,39024308,43207053,47475204,51778001,56078054,60328379,64466612,68432881,72178105,75651639,78838567,81722867
"Burundi",11939227,13810006,15798849,17970195,20377076,22998539,25762044,28603449,31498166,34457167,37482273,40531733,43547409,46470435,49285379,51970231,54513584
"Cambodia",16715508,17808685,18797878,19723795,20592416,21369568,22019028,22540932,22942211,23229699,23400907,23458459,23423623,23322830,23179296,22989635,22752616
"Cameroon",25958184,29339083,32979644,36883632,41020839,45351038,49817390,54373521,58964821,63552600,68103572,72561962,76875451,80989049,84845301,88403106,91640537
"Canada",37603205,39172922,40617535,41888356,43004685,44011310,44948602,45804729,46629079,47447273,48239730,48958954,49597228,50160738,50675266,51161563,51621993
"Cape Verde",567348,601854,635072,665467,692212,715082,734199,749193,759914,766042,767399,764313,757775,748776,738220,726569,714086
"Central African Republic",4920889,5488896,6123615,6797519,7481447,8165788,8850780,9538009,10218599,10877206,11497740,12067276,12579329,13034570,13432708,13774322,14055261
"Chad",16285093,18775565,21459963,24317309,27321154,30439253,33635795,36878236,40132054,43357148,46506378,49532386,52399973,55072068,57521561,59732523,61690672
"Chile",18472639,19099237,19637321,20058957,20378604,20598059,20718131,20746934,20697074,20583496,20413672,20197380,19938746,19647078,19343221,19044322,18756814
"China",1424548266,1438835697,1441181813,1433508888,1417472814,1394361025,1364456723,1328500912,1288706557,1248117944,1208908827,1171509615,1135754217,1102475450,1072518596,1045800902,1020665216
"Colombia",50220412,51854482,53134127,54054587,54615100,54833764,54732755,54361020,53765455,52985003,52048553,50973494,49782651,48533022,47269911,46025600,44826403
"Comoros",869601,964591,1061775,1161071,1261942,1363098,1462735,1559288,1651809,1739525,1822178,1898357,1967204,2028157,2080599,2124822,2161085
"Congo, Dem. Rep.",89505201,104220558,120442943,138153309,157114000,176960865,197404202,218220444,239148828,260011999,280414206,300057960,318708246,336057529,351969317,366297172,378975244
"Congo, Rep.",5686917,6455373,7318887,8276845,9308628,10388945,11509651,12675151,13885679,15134958,16404435,17675540,18934175,20165952,21360802,22500487,23576569
"Costa Rica",5044179,5247337,5417379,5553946,5658897,5732641,5774070,5784184,5765414,5723098,5660054,5576980,5475768,5363132,5247235,5134448,5027693
"Cote d'Ivoire",26171750,29590631,33337306,37411246,41796024,46463968,51375178,56479575,61750672,67133154,72573371,78012713,83413620,88718229,93889433,98849519,103563352
"Croatia",4115947,4002885,3895784,3790127,3681556,3571860,3460901,3348988,3237205,3127150,3020253,2918615,2824352,2737703,2658317,2585339,2517591
"Cuba",11495492,11513023,11496000,11410652,11266074,11070604,10823142,10523816,10187700,9836515,9512440,9229437,8984796,8748565,8517743,8308995,8119498
"Cyprus",1207343,1247140,1282204,1313542,1341465,1364924,1382839,1393909,1399097,1399397,1395354,1387443,1376391,1363425,1349558,1336017,1323296
"Czech Republic",10633424,10612937,10528196,10396773,10264847,10155117,10054302,9934787,9777427,9585480,9390433,9228510,9114984,9041877,8990017,8943642,8892165
"Denmark",5796800,5913085,6024516,6117850,6192283,6254378,6314402,6375329,6437647,6503115,6569355,6632079,6686353,6728684,6759801,6787536,6814919
"Djibouti",999899,1069009,1132710,1189001,1236850,1276268,1307615,1330906,1345960,1352536,1351296,1343453,1331086,1316122,1299918,1282463,1263813
"Dominica",75052,76643,77593,77883,77766,77396,76725,75668,74216,72445,70447,68342,66065,63630,61229,58962,56914
"Dominican Republic",11108358,11631994,12098320,12496897,12830731,13086762,13264741,13374780,13422524,13414455,13354004,13243914,13088049,12890307,12657220,12395962,12113860
"Ecuador",17335642,18478364,19554856,20554156,21461740,22268680,22968451,23560315,24041840,24410731,24670209,24822803,24876794,24839312,24725840,24550543,24320580
"Egypt",102941484,111470930,119745677,128264287,137065513,145575547,153433492,160546412,167005245,172963944,178407025,183295801,187609559,191350010,194498197,196985980,198748056
"El Salvador",6479066,6641077,6785583,6886840,6961520,6996962,6997410,6967763,6906033,6809916,6680505,6519018,6326918,6108370,5873823,5635784,5404065
"Equatorial Guinea",1406280,1636622,1871220,2104728,2348714,2596652,2844744,3092849,3335951,3568873,3788094,3990517,4175349,4342414,4492376,4625356,4740885
"Eritrea",5432216,6056880,6717687,7420805,8152540,8887988,9606664,10301880,10972592,11615750,12223199,12783154,13290621,13744780,14144954,14490515,14781199
"Estonia",1300559,1280134,1253590,1225001,1197944,1171949,1144747,1115451,1084309,1052261,1020969,991838,965871,943450,924380,907471,890759
"Ethiopia",112759070,126120682,139620178,153036024,166139393,178817639,190869632,202082564,212278592,221317582,229096851,235571073,240712370,244580164,247234529,248837223,249529919
"Fiji",924915,950430,970270,985150,994801,999087,998190,993452,985264,974052,960421,944901,927692,909192,889281,868221,846454
"Finland",5580127,5669119,5739095,5785214,5813529,5837028,5866350,5901156,5939874,5980556,6019077,6050929,6075168,6095031,6111888,6126553,6138570
"France",65721165,66841951,67894271,68860560,69648311,70211636,70608998,70930256,71227445,71561003,71955834,72396525,72847892,73265876,73652809,73986579,74241659
"Gabon",2151289,2371137,2593514,2820808,3053264,3287137,3516141,3733944,3936753,4124301,4297786,4457644,4602495,4730636,4839822,4928318,4996323
"Gambia",2293493,2635740,3000667,3383475,3777102,4172601,4562152,4940793,5304345,5648736,5969719,6261599,6519349,6739862,6923093,7068758,7179802
"Georgia",3898529,3829218,3748350,3662822,3576930,3488799,3393665,3292996,3190547,3091026,2997646,2910505,2828914,2752272,2679812,2610049,2540252
"Germany",82540450,82455044,82186736,81730117,81099557,80269191,79238486,78063809,76918850,75953380,75163796,74404477,73581317,72755692,72055949,71502897,71033283
"Ghana",30733755,33969758,37294019,40719336,44221824,47766708,51269943,54655603,57896929,60994934,63943441,66710967,69256200,71545859,73544161,75273295,76754605
"Greece",11102572,10944624,10783625,10624074,10451869,10243564,9981568,9669776,9329295,8989058,8670399,8391429,8153652,7949986,7766564,7590424,7422817
"Grenada",109308,111186,112024,112255,111972,111145,109581,107255,104156,100433,96263,91806,87274,82789,78484,74309,70258
"Guatemala",17910812,19572502,21202726,22772247,24264472,25666201,26968287,28156409,29215834,30123785,30867068,31436604,31837670,32076970,32172157,32145375,32020390
"Guinea",13750826,15611600,17631380,19788558,22059928,24423594,26852336,29312851,31778122,34213447,36590364,38882199,41067675,43121330,45025738,46761834,48326902
"Guinea-Bissau",2000694,2241865,2492580,2755473,3031196,3315680,3602736,3886400,4163165,4432079,4691250,4939056,5171096,5385219,5578226,5749865,5900589
"Guyana",790782,810501,824982,833489,835119,831011,821906,809183,793109,773916,751791,726644,699220,670701,642349,614814,588127
"Haiti",11371185,11986045,12543964,13036257,13454085,13792760,14041135,14205592,14280338,14269805,14185440,14041192,13853159,13631586,13384279,13118308,12840302
"Holy See",801,801,797,795,798,808,806,815,809,810,814,805,803,804,804,803,798
"Honduras",9719265,10454849,11147351,11778686,12339417,12830963,13248655,13591414,13856012,14040968,14142488,14164860,14115943,14006589,13848311,13654092,13437227
"Hong Kong, China",7547652,7768510,7987249,8126741,8199064,8233792,8253141,8266853,8276133,8272466,8250655,8214663,8182402,8170698,8191445,8237712,8298640
"Hungary",9621254,9439465,9235459,9004466,8757846,8512785,8278700,8052238,7824309,7592536,7365054,7155511,6968617,6801586,6650545,6513862,6388053
"Iceland",343228,355184,365646,374297,381151,386349,390071,392533,394122,395057,395253,394662,393195,391009,388356,385556,382627
"India",1383197753,1451829004,1512985207,1564570223,1605355574,1636496308,1658978162,1673078321,1678568111,1675744291,1665179391,1648425091,1626927002,1602017424,1574797201,1545958898,1516597380
"Indonesia",272222987,284751045,295595234,304758627,312134188,317731985,321550686,323790912,324706159,324574722,323652789,322033592,319781248,316961615,313660544,309964674,306025532
"Iran",83587129,86729781,88863308,90478779,91899463,93045086,93553454,93147423,91802462,89721573,87177099,84401124,81606260,79001898,76667127,74533592,72462296
"Iraq",41502885,47199653,53297666,59820984,66751984,74007050,81490359,89130835,96862785,104689915,112532712,120327004,127976683,135396930,142513569,149251037,155556001
"Ireland",4887992,5063876,5219951,5374338,5530561,5677669,5801399,5892221,5955712,6004954,6052152,6107231,6173357,6245244,6311390,6360533,6388798
"Israel",8713559,9348954,9983645,10628000,11281554,11937013,12577297,13187281,13758978,14294649,14803038,15285630,15741788,16161869,16535163,16857479,17124303
"Italy",59132073,58623032,58109918,57534360,56872174,56071394,55093194,53933322,52685582,51505783,50532918,49820740,49325037,48936727,48574826,48205301,47819324
"Jamaica",2913160,2934223,2932629,2908064,2858381,2789062,2703591,2606519,2497451,2375776,2244271,2105873,1964088,1822486,1685261,1555783,1435502
"Japan",126495647,124309808,121580505,118499790,115212067,111923238,108794446,105805496,102747177,99543480,96369242,93477602,91100643,89125918,87442977,85934292,84532388
"Jordan",10208662,10610246,11122063,11840789,12679815,13470733,14187734,14816149,15363306,15838920,16253949,16606016,16889908,17102707,17242780,17313695,17319499
"Kazakhstan",18777139,19610258,20301322,20950360,21621166,22309977,22959432,23505028,23931858,24279110,24594973,24901384,25199293,25460275,25650770,25743864,25738006
"Kenya",53491697,60063158,66959993,74086106,81286865,88434154,95467137,102302686,108838578,114980216,120634465,125717353,130208287,134106797,137384135,140049179,142123899
"Kiribati",122439,132270,141538,150340,159295,168697,178085,187050,195289,202830,209956,216932,223697,229852,235097,239450,243125
"North Korea",25840863,26350877,26743895,26971999,27034528,26967265,26808680,26586250,26321376,26024364,25708449,25375847,25031518,24677653,24317792,23952021,23581172
"South Korea",51506975,52219340,52701817,52805846,52409408,51586184,50456832,49131721,47720971,46314891,44924624,43565653,42294443,41145395,40174645,39356816,38707134
